accuracy: 97.91666666666666 error: 0.016630958510130328 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.003)}
accuracy: 92.82407407407408 error: 0.023858186763609582 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.004)}
accuracy: 98.14814814814815 error: 0.017248073864285087 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.005)}
accuracy: 93.28703703703704 error: 0.02187997285563802 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.006)}
accuracy: 93.51851851851852 error: 0.02266812229157672 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.007)}
accuracy: 93.75 error: 0.020810726401127317 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.7500000000000002), 'lambda': np.float64(0.008)}
accuracy: 95.83333333333334 error: 0.01197730275433574 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.001)}
accuracy: 92.82407407407408 error: 0.02522013923828269 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.002)}
accuracy: 97.91666666666666 error: 0.016297534611813946 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.003)}
accuracy: 93.28703703703704 error: 0.02209446679140837 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.004)}
accuracy: 97.91666666666666 error: 0.016335756274340255 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.005)}
accuracy: 95.60185185185185 error: 0.010050744125665879 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.006)}
accuracy: 93.28703703703704 error: 0.02521237064101567 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.007)}
accuracy: 93.28703703703704 error: 0.024402582925686738 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8000000000000003), 'lambda': np.float64(0.008)}
accuracy: 97.91666666666666 error: 0.015957667486269127 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.001)}
accuracy: 92.82407407407408 error: 0.02512356370039203 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.002)}
accuracy: 92.36111111111111 error: 0.023241810979749495 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.003)}
accuracy: 93.28703703703704 error: 0.025117794789670772 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.004)}
accuracy: 97.91666666666666 error: 0.01605959913535637 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.005)}
accuracy: 93.28703703703704 error: 0.024194700067089844 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.006)}
accuracy: 92.36111111111111 error: 0.023046958647312592 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.007)}
accuracy: 93.28703703703704 error: 0.02419759994553593 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.8500000000000003), 'lambda': np.float64(0.008)}
accuracy: 93.98148148148148 error: 0.004387651469176139 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.001)}
accuracy: 93.05555555555556 error: 0.02493485658018766 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.002)}
accuracy: 95.13888888888889 error: 0.006642084051859669 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.003)}
accuracy: 93.28703703703704 error: 0.021203775729476647 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.004)}
accuracy: 93.05555555555556 error: 0.024915775001935023 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.005)}
accuracy: 91.66666666666666 error: 0.022716726525108887 epoch: 8000 parameters: {'hidden_layers': np.int64(1), 'n_units': np.int64(2), 'eta': np.float64(0.5), 'alpha': np.float64(0.9000000000000004), 'lambda': np.float64(0.006)}
